Country Name,Country Code,Indicator Name,Indicator Code,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6475.719417,6697.187683,6614.830499,6180.118799,6163.861179,6676.307788,6912.104623,6955.88177,6063.62658,6635.463923,7125.829235
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2671.777538,2847.567954,2935.928578,2974.29692,3038.152046,3077.434432,3194.672704,3413.849067,3224.422811,3460.539401,3498.509816
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,11835.38393,12418.82617,13580.00674,15761.36338,16743.37674,16011.66115,15948.27586,15567.09087,14016.2475,12083.88815,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2653.092358,2578.498647,2742.25005,2502.073746,2332.675664,2495.140474,2584.327738,2593.775798,2446.084413,2644.537173,3020.269646
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,13010.75692,13558.34256,14181.95018,12560.05142,12378.81176,13815.49995,15504.50894,15700.01358,15816.8204,17999.83227,18321.28089
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1709.682289,1819.868277,1876.476219,1557.659475,1382.138401,1429.305168,1447.509518,1484.236014,1329.368452,1413.97366,1553.280512
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,27944.73389,28513.16574,28981.45733,29763.4883,30627.1634,31108.75275,31615.06679,32916.8668,31427.42911,32601.56564,35208.63719
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,20563.7136,21653.19598,22103.70097,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,22242.40642,24598.47279,24274.51658
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5621.244026,6435.82655,6629.426519,5861.389724,5759.018333,6136.058354,6242.961502,5807.838814,5353.348045,5959.441763,6153.055677
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3067.438727,3315.297539,3352.112595,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3233.568638,3678.635657,3789.327966
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3484.203196,3582.878621,3851.250993,3723.875213,3866.861921,4128.660653,4286.734144,4234.833963,3713.506943,3641.558247,3874.934178
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,42289.86207,42524.07783,43169.44402,40641.16293,41372.28231,42971.52687,45386.74721,45701.58439,44494.64574,49340.46648,50307.66936
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,19864.53568,20941.51722,21223.0754,18252.51413,18726.6395,19743.95899,20614.89439,20093.20862,18984.61738,19999.07676,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,98041.36224,97630.82552,93126.14946,66984.9102,58467.23557,59407.69805,66264.08117,62827.39695,52315.66008,66838.32764,88046.32042
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,8930.729912,9497.207427,10031.34215,8976.955236,9404.380487,10727.97175,12494.42464,12957.99911,13047.45768,14927.11686,15892.11853
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,15420.8584,15974.62305,14095.64648,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879,10194.44141,12593.15723,15345.09668
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,706.139034,704.4235236,724.7286812,733.8228504,728.806677,756.5476049,768.9641303,806.1280144,773.8205575,821.2281941,966.3271101
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1347.450817,1364.399694,1475.338214,1523.383336,1675.367623,1887.857385,1920.20841,1964.980519,1853.893087,2136.15806,2272.454739
